Sample,Sed_TOC,Sed_TN,HPAH,LPAH,Ag,As,Cd,Cr,Cu,Hg,Pb,Zn,PBDE47,Ni,Se,Sn
Long-term_2017_40021_1,1.61,0.2,155.48,31.5,0.182,10.2,0.318,78.1,43.1,0.0818,11.5,85.8,0.187,62.2,0.572,0.69
Long-term_2017_40021_2,1.63,0.19,155.48,31.5,0.182,10.2,0.318,78.1,43.1,0.0818,11.5,85.8,0.187,62.2,0.572,0.69
Long-term_2017_40021_3,1.59,0.18,155.48,31.5,0.182,10.2,0.318,78.1,43.1,0.0818,11.5,85.8,0.187,62.2,0.572,0.69
Long-term_2018_40021_1,1.67,0.18,155.48,31.5,0.182,10.2,0.318,78.1,43.1,0.0818,11.5,85.8,0.187,62.2,0.572,0.69
Long-term_2017_40022_1,2.65,0.32,506.89,78.71,0.387,10.5,1.3,52.9,47,0.205,31.4,96.9,0.363,41.1,1.03,2.73
Long-term_2017_40022_2,2.54,0.31,506.89,78.71,0.387,10.5,1.3,52.9,47,0.205,31.4,96.9,0.363,41.1,1.03,2.73
Long-term_2017_40022_3,2.88,0.36,506.89,78.71,0.387,10.5,1.3,52.9,47,0.205,31.4,96.9,0.363,41.1,1.03,2.73
Long-term_2018_40022_1,2.88,0.35,506.89,78.71,0.387,10.5,1.3,52.9,47,0.205,31.4,96.9,0.363,41.1,1.03,2.73
Long-term_2017_40025_3,1.45,0.19,278.81,80.09,0.103,6.08,0.453,41.1,24.4,0.0619,11.4,76.3,0.129,28.1,0.567,1.09
Long-term_2018_40025_1,1.8,0.2,278.81,80.09,0.103,6.08,0.453,41.1,24.4,0.0619,11.4,76.3,0.129,28.1,0.567,1.09
Long-term_2017_40026_1,2.6,0.3,281.8,80.91,0.119,8.27,0.423,51.7,43,0.0749,16.4,93.9,0.068,43.3,1.03,1.04
Long-term_2017_40026_2,2.56,0.3,281.8,80.91,0.119,8.27,0.423,51.7,43,0.0749,16.4,93.9,0.068,43.3,1.03,1.04
Long-term_2017_40026_3,2.57,0.31,281.8,80.91,0.119,8.27,0.423,51.7,43,0.0749,16.4,93.9,0.068,43.3,1.03,1.04
Long-term_2018_40026_1,2.58,0.29,281.8,80.91,0.119,8.27,0.423,51.7,43,0.0749,16.4,93.9,0.068,43.3,1.03,1.04
Long-term_2017_40027_1,0.32,0.1,32.228,9.891,0.05,3.06,0.05,21.7,6.23,0.0135,4.14,27.3,0.033,20.8,0.131,0.38
Long-term_2017_40027_2,0.15,0.1,32.228,9.891,0.05,3.06,0.05,21.7,6.23,0.0135,4.14,27.3,0.033,20.8,0.131,0.38
Long-term_2017_40027_3,0.15,0.1,32.228,9.891,0.05,3.06,0.05,21.7,6.23,0.0135,4.14,27.3,0.033,20.8,0.131,0.38
Long-term_2018_40027_1,0.2,0.03,32.228,9.891,0.05,3.06,0.05,21.7,6.23,0.0135,4.14,27.3,0.033,20.8,0.131,0.38
Long-term_2017_40028_1,2.88,0.35,233.66,41.91,0.187,9.01,0.928,58.1,44.7,0.0822,14.4,92.9,0.059,42.9,0.655,1.21
Long-term_2017_40028_2,2.82,0.35,233.66,41.91,0.187,9.01,0.928,58.1,44.7,0.0822,14.4,92.9,0.059,42.9,0.655,1.21
Long-term_2017_40028_3,2.62,0.34,233.66,41.91,0.187,9.01,0.928,58.1,44.7,0.0822,14.4,92.9,0.059,42.9,0.655,1.21
Long-term_2018_40028_1,2.65,0.35,233.66,41.91,0.187,9.01,0.928,58.1,44.7,0.0822,14.4,92.9,0.059,42.9,0.655,1.21
Long-term_2017_40029_1,1.62,0.2,154.51,76.36,0.077,6.38,0.26,41.1,23.5,0.0508,10.6,73.1,0.161,32.9,0.556,0.8
Long-term_2017_40029_2,1.51,0.19,154.51,76.36,0.077,6.38,0.26,41.1,23.5,0.0508,10.6,73.1,0.161,32.9,0.556,0.8
Long-term_2017_40029_3,1.72,0.18,154.51,76.36,0.077,6.38,0.26,41.1,23.5,0.0508,10.6,73.1,0.161,32.9,0.556,0.8
Long-term_2018_40029_1,1.4,0.18,154.51,76.36,0.077,6.38,0.26,41.1,23.5,0.0508,10.6,73.1,0.161,32.9,0.556,0.8
Long-term_2017_40030_1,3.42,0.41,1533.1,180.61,0.912,13.4,1.48,56.7,102,0.797,69.6,147,0.463,40.9,1.16,6.39
Long-term_2017_40030_2,3.45,0.43,1533.1,180.61,0.912,13.4,1.48,56.7,102,0.797,69.6,147,0.463,40.9,1.16,6.39
Long-term_2017_40030_3,3.58,0.44,1533.1,180.61,0.912,13.4,1.48,56.7,102,0.797,69.6,147,0.463,40.9,1.16,6.39
Long-term_2018_40030_1,3.25,0.37,1533.1,180.61,0.912,13.4,1.48,56.7,102,0.797,69.6,147,0.463,40.9,1.16,6.39
Long-term_2017_40032_1,0.57,0.1,94.39,17.139,0.079,5.64,0.962,26.8,15.5,0.0348,6.15,38,0.201,22.3,0.411,0.47
Long-term_2017_40032_2,0.42,0.1,94.39,17.139,0.079,5.64,0.962,26.8,15.5,0.0348,6.15,38,0.201,22.3,0.411,0.47
Long-term_2017_40032_3,0.59,0.1,94.39,17.139,0.079,5.64,0.962,26.8,15.5,0.0348,6.15,38,0.201,22.3,0.411,0.47
Long-term_2018_40032_1,0.43,0.06,94.39,17.139,0.079,5.64,0.962,26.8,15.5,0.0348,6.15,38,0.201,22.3,0.411,0.47
Long-term_2017_40033_1,1.01,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Long-term_2017_40033_2,1.11,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Long-term_2017_40033_3,0.96,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Long-term_2017_40034_1,0.24,0.1,14.347,3.765,0.05,3.52,0.246,16.6,4.36,0.0131,1.45,19,0.201,22.5,0.172,0.16
Long-term_2017_40034_2,0.18,0.1,14.347,3.765,0.05,3.52,0.246,16.6,4.36,0.0131,1.45,19,0.201,22.5,0.172,0.16
Long-term_2017_40034_3,0.12,0.1,14.347,3.765,0.05,3.52,0.246,16.6,4.36,0.0131,1.45,19,0.201,22.5,0.172,0.16
Long-term_2018_40034_1,0.11,0.04,14.347,3.765,0.05,3.52,0.246,16.6,4.36,0.0131,1.45,19,0.201,22.5,0.172,0.16
